Time [hr:min],Middle Getter [degrees C],Top Getter [degrees C],Bottom Getter [degrees C],Bottom Mol Siv [degrees C], Exhaust (degrees C)
10/17 18:30,45.25,45.62,63.35,93.45, 32.4
10/17 18:45,46.96,47.24,63.07,82.27, 32.9
10/17 19:00,47.89,48.17,62.3,82.27, 33.6
10/17 19:15,49.31,50.16,63.99,89.86, 34.4
10/17 19:30,49.88,51.86,67.37,97.76, 35.3
10/17 19:45,50.73,53.56,70.83,105.12, 36.1
10/17 20:00,51.66,54.77,75.24,112.51, 36.9
10/17 20:15,52.79,55.9,78.61,118.58, 37.7
10/17 20:30,55.54,58.4,81.42,123.65, 38.7
10/17 20:45,58.64,59.77,83.39,125.94, 39.6
10/17 21:00,61.46,61.26,85.64,126.03, 40.0
10/17 21:15,64.36,62.67,87.13,126.6, 41.4
10/17 21:30,66.89,64.08,88.54,127.6, 42.4
10/17 21:45,69.7,65.75,89.95,126.89, 43.1
10/17 22:00,71.95,67.09,91.64,128.9, 44.1
10/17 22:15,74.2,68.3,93.33,131, 44.5
10/17 22:30,76.25,69.5,94.82,133.3, 45.2
10/17 22:45,78.5,71.19,96.8,135.03, 45.7
10/17 23:00,80.26,72.4,98.01,136.76, 46.5
10/17 23:15,82.23,74.36,99.42,138.58, 47.3
10/17 23:30,83.92,76.05,101.12,140.31, 47.9
10/17 23:45,85.69,77.82,102.25,141.27, 48.9
10/18 00:00,87.46,79.87,103.47,142.42, 49.8
10/18 00:15,88.11,80.79,104.12,143.09, 50.5
10/18 00:30,90.28,83.52,105.62,143.75, 51.4
10/18 00:45,91.69,85.21,106.67,144.33, 52.3
10/18 01:00,92.41,86.9,107.04,145.4, 53.2
10/18 01:15,93.94,88.3,108.17,146.27, 53.9
10/18 01:30,95.07,89.71,109.23,146.94, 54.4
10/18 01:45,96.08,91.0,109.96,147.52, 54.8
10/18 02:00,97.21,92.7,111.11,148.19, 55.2
10/18 02:15,98.14,93.82,111.47,148.56, 55.8
10/18 02:30,98.71,95.04,112.04,148.85, 56.2
10/18 02:45,99.64,95.97,112.49,149.23, 56.7
10/18 03:00,100.49,96.81,113.06,149.6, 57.1
10/18 03:15,101.62,97.66,113.63,150.1, 57.6
10/18 03:30,101.99,98.87,114.2,150.18, 57.9
10/18 03:45,102.35,99.24,114.48,150.47, 58.4
10/18 04:00,103.12,100.57,115.06,150.56, 58.8
10/18 04:15,103.4,101.14,115.05,151.06, 59.1
10/18 04:30,104.62,102.07,115.42,151.43, 59.6
10/18 04:45,104.9,102.92,115.99,151.64, 59.9
10/18 05:00,105.47,103.48,116.28,151.72, 60.2
10/18 05:30,105.95,104.53,116.56,151.72, 60.6
10/18 05:45,106.32,104.62,116.56,151.72, 60.7
10/18 06:00,106.32,104.9,116.85,152.01, 60.8
10/18 06:15,106.89,105.47,116.85,151.93, 60.9
10/18 06:30,106.89,105.95,117.13,152.22, 61.2
10/18 06:45,107.17,106.25,117.62,152.51, 61.3
10/18 7:00,107.37,106.8,117.62,152.51, 61.8
10/18 7:15,107.46,106.89,117.62,152.51, 62.3
10/18 7:30,108.02,107.37,117.91,152.51, 62.6
10/18 7:45,108.51,107.94,117.91,152.51, 62.4
10/18 8:00,108.51,108.22,117.71,152.3, 62.5
10/18 8:15,108.31,107.94,117.62,152.51, 62.8
10/18 8:30,108.79,108.22,117.91,152.22, 63.1
10/18 8:45,108.99,108.71,116.11,149.23, 57.6
10/18 9:00,108.14,108.71,112.98,147.4, 58.8
10/18 9:15,107.86,108.71,115.54,147.49, 61.7
10/18 9:30,108.34,108.34,117.74,148.85, 63.3
10/18 10:00,109.39,108.83,127.68,157.49, 71.9
10/18 10:15,110.53,108.83,136.61,173.55, 73.5
10/18 10:30,113.38,108.83,141.81,182.82, 71.6
10/18 10:45,117.86,111.02,148.1,180.49, 72.3
10/18 11:00,121.29,111.59,147.52,162.08, 62.4
10/18 11:15,125.87,114.43,154.79,188.69, 74.2
10/18 11:30,130.18,116.43,161.19,191.9, 76.5
10/18 11:45,133.06,118.14,157.99,184.21, 75.4
10/18 12:00,137.59,121.2,166.07,195.92, 82.1
10/18 12:15,142.3,124.15,174.92,207.96, 85.2
10/18 12:30,146.94,127.6,182.82,214.69, 87.6
10/18 12:45,151.88,130.67,181.2,211.11, 89.2
10/18 13:00,157.11,134.21,186.34,213.24, 91.3
10/18 13:15,162.36,137.68,190.14,216.15, 94.3
10/18 13:45,139.6,168.1,188.7,209.3, 79.7
10/18 14:30,145.4,172.8,186.2,194.5, 76.9
10/18 14:45,147.8,173.0,183.3,189.4, 78.2
10/18 15:00,148.5,173.0,180.9,186.76, 78.0
